filePath,Class_Description,XMin,XMax,YMin,YMax
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Salad-a73b99af09b59f5e.png,Salad,0.014375,0.9375,0.0,0.954167
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-0c537e561dcd42fa.png,Lemon,0.598125,0.82125,0.347744,0.675752
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Broccoli-GN-8782.png,Broccoli,0.35,0.498125,0.192271,0.37040500000000004
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pizza-35e429c9e18451f4.png,Pizza,0.091503,0.9820260000000001,0.011438,0.6307189999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Banana-GN-13003.png,Banana,0.0,0.231875,0.617596,0.999129
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Tomato-54068ab734617f43.png,Tomato,0.458984,0.686523,0.411458,0.6875
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Strawberry-2f6729d8f57fc486.png,Strawberry,0.221875,0.8640620000000001,0.29375,0.925
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lobster-7b51f710b0930c55.png,Lobster,0.63375,0.92625,0.203509,0.876023
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cucumber-9412c79f07fbb606.png,Cucumber,0.0625,0.19625,0.32551599999999997,0.45497200000000004
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pizza-35801568540fd3b3.png,Pizza,0.02375,0.93125,0.0,0.990619
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Bread-66835986ba424c8c.png,Bread,0.359375,0.496875,0.354869,0.592697
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Salad-faeacdfbf16013d3.png,Salad,0.1775,0.92,0.2425,0.785833
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-658e199169360a6e.png,Banana,0.03125,0.946875,0.226667,0.84
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-1bf66c419f9801ab.png,Banana,0.06451599999999999,0.336834,0.28125,0.879375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Lobster-HFlip-42406.png,Lobster,0.001634,1.0,0.0,0.998366
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-GN-20927.png,Waffle,0.528125,0.636875,0.901501,0.9990620000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-HFlip-43481.png,Sandwich,0.20199999999999999,0.915,0.097598,0.891892
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-3b9198a789c1e144.png,Apple,0.094375,0.50875,0.00469,0.575047
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-ad333b249b8bca60.png,Muffin,0.578125,0.906875,0.37441199999999997,0.650047
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-f2e56126f98a24d1.png,Banana,0.73,0.849375,0.0,0.41651000000000005
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Juice-0ad14ef96fb8f380.png,Juice,0.309375,0.557813,0.771875,0.9890620000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Hamburger-0f2d93c093ba0108.png,Hamburger,0.105625,0.649375,0.169167,0.834167
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Carrot-e43c827bfa04d7f9.png,Carrot,0.06375,0.983125,0.0,0.965116
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Burrito-VFlip-31691.png,Burrito,0.335796,0.8824709999999999,0.23875,0.74625
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Grape-25eaf8a9f36c1d61.png,Grape,0.2077,0.574468,0.105405,0.31982
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Lobster-HFlip-18890.png,Lobster,0.000625,1.0,0.0,0.9783430000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-f343e39ef0ecf60c.png,French fries,0.17810499999999999,0.8888889999999999,0.197712,0.7843140000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Taco-HFlip-31936.png,Taco,0.573125,0.930625,0.14166700000000002,0.679167
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-GN-4708.png,Lemon,0.08875,0.31625,0.56,0.844167
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-48b77d339ec0bcaf.png,Orange,0.639775,0.6857409999999999,0.63375,0.66625
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-f120eb367302bc96.png,Pasta,0.009375,0.9578120000000001,0.079687,0.9671879999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Salad-4afe1c8d61479421.png,Salad,0.106,0.8859999999999999,0.295352,0.95952
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-2eab573d68349668.png,Pasta,0.161667,0.999167,0.081111,0.9988889999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pizza-GN-272.png,Pizza,0.0,1.0,0.285948,0.990196
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-GN-4633.png,Waffle,0.010937,0.220313,0.43906300000000004,0.6375
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Broccoli-29ec3b3f99166d6c.png,Broccoli,0.265625,0.86125,0.003752,0.586304
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-06835c5a25e77cc9.png,Muffin,0.000977,0.460938,0.269531,0.838542
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hot dog-GN-21997.png,Hot dog,0.29394499999999996,0.732422,0.152344,0.855469
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-GN-27279.png,Pancake,0.0,0.999167,0.130625,0.79375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hamburger-GN-967.png,Hamburger,0.1225,0.566875,0.0,0.450833
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Hot dog-4690166aec1a07f0.png,Hot dog,0.102007,0.629599,0.25625,0.920625
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Juice-c18ac02000163b76.png,Juice,0.14375,0.821875,0.09375,0.9171879999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Carrot-GN-18766.png,Carrot,0.64125,0.7425,0.6043229999999999,0.831767
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-4ed695d78864c4e8.png,Orange,0.09765599999999999,0.514844,0.225,0.76875
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-HFlip-42424.png,Waffle,0.000625,1.0,0.0,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-0018c5388922350a.png,Apple,0.725625,0.835,0.417367,0.5770310000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-HFlip-11040.png,Waffle,0.5898439999999999,0.9599610000000001,0.0,0.515373
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-64e75a5b3ad55e9a.png,Apple,0.761726,0.893058,0.69375,0.8225
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Banana-GN-25005.png,Banana,0.75875,0.9925,0.300833,0.964167
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hamburger-HFlip-10020.png,Hamburger,0.26,0.84125,0.22924499999999998,0.9
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-a30d502fade25820.png,Lemon,0.375,0.5725,0.745,0.898333
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Broccoli-HFlip-14865.png,Broccoli,0.151875,0.48125,0.2493,0.8085899999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Taco-253650e84fed30bc.png,Taco,0.096875,0.353125,0.275,0.55625
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-640350a01b9428dd.png,Egg (Food),0.20125,0.51875,0.43,0.656875
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hamburger-HFlip-42428.png,Hamburger,0.685625,0.985625,0.080833,0.3125
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Juice-e4d3b78087894dd7.png,Juice,0.04875,0.1625,0.31203000000000003,0.473684
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-GN-30276.png,Sandwich,0.490625,0.64,0.005833,0.365
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-13777427f3188ece.png,Egg (Food),0.04125,0.999375,0.0,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cheese-d70c43b33f4956cb.png,Cheese,0.246667,0.41555600000000004,0.822742,0.9983280000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-GN-16506.png,Waffle,0.0425,0.53875,0.065833,0.690833
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Cheese-GN-17263.png,Cheese,0.17800000000000002,0.414,0.417417,0.591592
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-171c7dd618a875bd.png,Pasta,0.029687,0.946875,0.10468699999999999,1.0
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Grape-GN-13289.png,Grape,0.527648,0.862758,0.084311,0.8203809999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cookie-2295a0b729f77332.png,Cookie,0.13875,0.69875,0.495,0.905
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-6570d895829ef9f9.png,French fries,0.371875,0.61,0.28777800000000003,1.0
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pear-HFlip-24393.png,Pear,0.8151970000000001,1.0,0.325625,0.493125
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Potato-HFlip-43815.png,Potato,0.196875,0.30375,0.340803,0.447246
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Coffee-9e74beedceb330b2.png,Coffee,0.30625,0.3925,0.108333,0.14
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Strawberry-6afbc2760d0ab086.png,Strawberry,0.362745,0.47222200000000003,0.23692800000000003,0.33660100000000004
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-GN-1341.png,Egg (Food),0.4225,0.498125,0.337778,0.49
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-GN-916.png,Pasta,0.11,1.0,0.04125,1.0
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Carrot-GN-26552.png,Carrot,0.0,0.078431,0.0,0.901961
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lobster-30530af921836f22.png,Lobster,0.49511700000000003,0.758789,0.7695310000000001,0.998698
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-188ed19e29e98888.png,Egg (Food),0.0,0.969375,0.02125,0.999375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-HFlip-14675.png,Pancake,0.186875,0.67625,0.40471399999999996,0.708418
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pear-GN-3728.png,Pear,0.128852,0.807656,0.269375,0.89375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Broccoli-GN-29478.png,Broccoli,0.054688,0.201562,0.35,0.604688
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Taco-GN-5216.png,Taco,0.0,0.5025,0.129821,0.930386
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Burrito-ace4891b063673ed.png,Burrito,0.0,0.503125,0.15520799999999998,0.998958
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cheese-38e23b208d791b68.png,Cheese,0.128125,0.928125,0.229687,0.646875
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cheese-ec4b388624ca4630.png,Cheese,0.0,0.78125,0.0,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Strawberry-18cc6b835d2a29bc.png,Strawberry,0.2,0.81875,0.0015630000000000002,0.8328120000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Grape-3f0319482a14ae53.png,Grape,0.424375,0.47125,0.420263,0.48968100000000003
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pancake-11dcf0d99f86d869.png,Pancake,0.129944,0.312618,0.875,0.976875
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Juice-69fba8535ffaf020.png,Juice,0.0225,0.14375,0.8041050000000001,0.9421639999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-HFlip-8283.png,Pancake,0.255,0.893125,0.223796,0.9414540000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Lobster-HFlip-23791.png,Lobster,0.343125,0.569375,0.394167,0.654167
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-67ef0dad37fb17fa.png,Apple,0.17033,0.490842,0.751004,0.9407629999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pizza-GN-945.png,Pizza,0.0,0.999375,0.114167,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-GN-17621.png,Orange,0.6625,0.840625,0.7125,0.8765620000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-7ca018213629ff5a.png,Banana,0.27,0.73375,0.568203,0.802446
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-GN-26414.png,Lemon,0.11875,0.479375,0.07333300000000001,0.551667
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Taco-GN-12063.png,Taco,0.565,0.87875,0.26251399999999997,0.688543
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Strawberry-c41f069b8cbfe204.png,Strawberry,0.533125,0.655625,0.3875,0.554167
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Bread-d66ef3779edfc4ca.png,Bread,0.10416700000000001,0.919167,0.181818,0.742217
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-3469eb14cd9593d6.png,Orange,0.398125,0.550625,0.670625,0.7825
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-064b71f1c58128cd.png,Lemon,0.330893,0.587116,0.414062,0.598633
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-GN-1727.png,Apple,0.24,0.6025,0.208333,0.651667
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-HFlip-44560.png,Sandwich,0.59,0.970625,0.436222,0.981499
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-GN-12111.png,Orange,0.0,0.196,0.0,0.306525
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-GN-29308.png,Lemon,0.238125,0.508125,0.17167000000000002,0.6519699999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-100940397939f11e.png,Apple,0.197712,0.465686,0.6192810000000001,0.880719
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-31c0581fc9bfacb8.png,Lemon,0.257009,0.708411,0.344375,0.61625
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Burrito-HFlip-43937.png,Burrito,0.530625,0.830625,0.294167,0.725833
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-0ea3175840bb5691.png,Banana,0.003125,0.990625,0.046745,0.899833
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Cheese-VFlip-13811.png,Cheese,0.0,0.39,0.3025,0.523125
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-HFlip-43188.png,Sandwich,0.486875,0.871875,0.335,0.806667
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-HFlip-27131.png,Pancake,0.209375,0.99375,0.0,0.5389079999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pizza-3afed9e4ebbb65ad.png,Pizza,0.019167,0.9658329999999999,0.221875,0.683125
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-da9e7183a28094d7.png,French fries,0.02375,0.881875,0.045833,0.841667
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-4a79bf1939ed44ed.png,French fries,0.341667,0.759167,0.683125,0.85625
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-HFlip-24179.png,Waffle,0.13125,1.0,0.189802,0.9990559999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-f1f182d76b05a2bb.png,French fries,0.655625,0.848125,0.160075,0.400188
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Juice-16d18621e9a293ba.png,Juice,0.26406199999999996,0.626562,0.16406199999999999,0.74375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Salad-8317cb037f10d127.png,Salad,0.125333,0.998667,0.349,0.976
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-1db33a8b835d107a.png,Lemon,0.095312,0.645312,0.41041700000000003,0.995833
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-282627a375925d17.png,Muffin,0.26,0.556875,0.5630890000000001,0.995292
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cucumber-457a75ca812fe198.png,Cucumber,0.681875,0.795625,0.11555599999999999,0.663333
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-7ff890c3ddd3104d.png,Muffin,0.012346,0.997685,0.02376,0.998967
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-b4d0e5370fb74289.png,French fries,0.045625,0.704375,0.17636,0.978424
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-c22131e66b15bf54.png,Banana,0.0,1.0,0.021667,0.941667
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Juice-de7d5faf1db6f07a.png,Juice,0.445625,0.549375,0.512195,0.8170729999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-HFlip-12890.png,Sandwich,0.18125,0.988125,0.0,0.9990620000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-a4b6204ec3540439.png,Egg (Food),0.105625,0.999375,0.020833,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-HFlip-16178.png,Pancake,0.5325,1.0,0.42426800000000003,0.998326
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-d870ad3e90f67142.png,French fries,0.41375,0.7875,0.264167,0.82
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Tomato-d41d462793583bd0.png,Tomato,0.0,0.65625,0.49392700000000006,0.94332
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hamburger-HFlip-18654.png,Hamburger,0.145,0.88,0.14166700000000002,0.851667
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Coffee-bc5c483f73e0b1d3.png,Coffee,0.805845,0.960334,0.2825,0.29875
